LONGITUDE,LATITUDE,PB206_PB204,PB207_PB204,PB208_PB204
50.8529,-37.6479,18.215,15.533,38.078
51.0468,-37.6289,18.21,15.527,38.067
50.97,-37.61,18.199,15.565,38.1645
50.99,-37.61,18.361,15.594,38.254
126.778,-37.582,17.8925,15.57116667,38.133
50.9968,-37.5545,18.592,15.624,38.574
78.43,-37.52,18.738,15.576,39.009
51.16,-37.46,18.2028,15.5012,38.0262
51.5628,-37.4248,18.192,15.507,38.018
51.7079,-37.4188,18.183,15.518,38.015
51.39,-37.38,18.2224,15.5073,38.0605
51.81,-37.33,18.1003,15.4952,37.9263
118.156,-37.1667,18.465,15.55466667,38.415
25.795,-37.0693,19.2885,15.7033,39.1339
25.2463,-37.046,18.9615,15.6747,38.98215
52.5582,-36.506,17.929,15.464,37.61
52.49,-36.04,18.13233333,15.50166667,37.933
53.89,-35.34,17.6034,15.42795,37.534
33.3968,-35.2852,18.6423,15.5981,38.3915
33.0682,-35.1937,18.307,15.5959,38.3835
33.7157,-35.1212,18.63725,15.5559,38.3495
111.983,-35.0969,17.277,15.592,38.15
110.306,-35.0908,17.885,15.664,39.267
33.8607,-35.084,18.3584,15.5595,38.3528
111.725,-35.0393,17.633,15.627,39.115
112.212,-35.0358,18.327,15.602,38.136
111.614,-35.0074,17.867,15.597,38.146
112.045,-34.9688,18.096,15.708,39.26
78.54,-34.96,18.431,15.551,38.396
78.67,-34.91,18.371,15.549,38.2875
112.942,-34.8697,17.8075,15.6605,38.559
32.9438,-34.8083,18.7781,15.546,37.9317
113.652,-34.7664,17.618,15.671,38.253
54.37,-34.75,18.1221,15.4854,37.9595
54.65,-34.73,17.7754,15.4535,37.6722
78.013,-34.385,18.155,15.466,38.103
78.023,-34.383,18.394,15.516,38.4495
55.27,-34.37,17.8398,15.4596,37.7016
55.13,-34.36,17.8931,15.4613,37.73
33.269,-34.3202,19.2936,15.6264,39.2391
33.097,-34.3122,18.4855,15.5721,38.3171
33.297,-34.1847,19.6366,15.6658,39.6092
55.63,-34.14,18.1598,15.4969,37.9394
31.227,-34.0753,18.662,15.58316667,38.45216667
36.2372,-34.0475,18.83145,15.63865,38.7446
36.2908,-33.9638,18.62585,15.61305,38.65765
55.78,-33.96,17.8978,15.4733,37.6537
56.03,-33.87,18.0786,15.4773,37.7434
36.2757,-33.818,18.6369,15.6059,38.4724
56.13,-33.79,18.1315,15.4885,37.7737
56.27,-33.76,18.114,15.505,37.839
56.64,-33.65,17.9864,15.473,37.6813
36.353,-33.6232,19.4306,15.6273,39.3054
39.3692,-33.4623,18.7455,15.537,38.445
36.4452,-33.22,18.55403333,15.61073333,38.5768
33.2003,-33.1908,17.99295,15.59135,38.19995
33.514,-33.1113,18.3434,15.6358,38.4865
33.4893,-33.0853,18.0457,15.6021,38.2533
36.4438,-33.0175,18.44835,15.56835,38.4622
36.4885,-32.9983,18.31933333,15.57953333,38.49683333
36.4903,-32.9575,18.2237,15.56913333,38.44543333
35.003,-32.8422,18.6593,15.6584,38.7893
36.539,-32.7643,18.3933,15.5447,38.2746
35.3523,-32.7533,19.1062,15.64815,39.1965
57.266,-32.7234,17.66025,15.41835,37.378225
57.266,-32.7233,17.53073684,15.43110526,37.25321053
77.596,-32.665,17.927,15.459,37.884
35.5788,-32.6455,18.47785,15.61415,38.60375
36.5938,-32.596,18.4708,15.5955,38.5675
36.5697,-32.5592,18.2501,15.5728,38.5153
77.43,-32.51,17.952,15.477,37.826
98.3409,-32.4066,17.9895,15.6375,39.166
